Generated on  2023-04-28 22:15:21.136110491 +0200 CEST m=+0.472050580
              openai	babbage
              openai	davinci
              openai	text-davinci-edit-001
          openai-dev	babbage-code-search-code
          openai-dev	text-similarity-babbage-001
              openai	code-davinci-edit-001
              openai	text-davinci-001
     openai-internal	text-davinci-003
              openai	ada
          openai-dev	babbage-code-search-text
          openai-dev	babbage-similarity
          openai-dev	code-search-babbage-text-001
              openai	text-curie-001
          openai-dev	code-search-babbage-code-001
              openai	text-ada-001
     openai-internal	text-embedding-ada-002
          openai-dev	text-similarity-ada-001
              openai	curie-instruct-beta
          openai-dev	ada-code-search-code
          openai-dev	ada-similarity
          openai-dev	code-search-ada-text-001
          openai-dev	text-search-ada-query-001
          openai-dev	davinci-search-document
              openai	gpt-3.5-turbo-0301
          openai-dev	ada-code-search-text
          openai-dev	text-search-ada-doc-001
              openai	davinci-instruct-beta
          openai-dev	text-similarity-curie-001
          openai-dev	code-search-ada-code-001
          openai-dev	ada-search-query
          openai-dev	text-search-davinci-query-001
          openai-dev	curie-search-query
          openai-dev	davinci-search-query
          openai-dev	babbage-search-document
          openai-dev	ada-search-document
          openai-dev	text-search-curie-query-001
     openai-internal	whisper-1
          openai-dev	text-search-babbage-doc-001
          openai-dev	curie-search-document
          openai-dev	text-search-curie-doc-001
          openai-dev	babbage-search-query
              openai	text-babbage-001
          openai-dev	text-search-davinci-doc-001
              openai	gpt-3.5-turbo
          openai-dev	text-search-babbage-query-001
          openai-dev	curie-similarity
              openai	curie
          openai-dev	text-similarity-davinci-001
              openai	text-davinci-002
          openai-dev	davinci-similarity
              system	cushman:2020-05-03
              system	ada:2020-05-03
              system	babbage:2020-05-03
              system	curie:2020-05-03
              system	davinci:2020-05-03
              openai	if-davinci-v2
              openai	if-curie-v2
              openai	if-davinci:3.0.0
              openai	davinci-if:3.0.0
              openai	davinci-instruct-beta:2.0.0
              system	text-ada:001
              system	text-davinci:001
              system	text-curie:001
              openai	text-babbage:001
